"year","n","category"
2015-09-01,96.9,2014-15
2015-08-01,102.2,2014-15
2015-07-01,98.1,2014-15
2015-06-01,98.1,2014-15
2015-05-01,87.5,2014-15
2015-04-01,91,2014-15
2015-03-01,82.8,2014-15
2015-02-01,75.5,2014-15
2015-01-01,71,2014-15
2014-12-01,65.6,2014-15
2014-11-01,86.3,2014-15
2014-10-01,106,2014-15
2015-09-01,106.4,2015-16
2015-08-01,113.7,2015-16
2015-07-01,113.5,2015-16
2015-06-01,105,2015-16
2015-05-01,86.9,2015-16
2015-04-01,77,2015-16
2015-03-01,66,2015-16
2015-02-01,67.2,2015-16
2015-01-01,61.1,2015-16
2014-12-01,67.2,2015-16
2014-11-01,75.6,2015-16
2014-10-01,87.2,2015-16
2015-08-01,117.3,2016-17
2015-07-01,119.8,2016-17
2015-06-01,110.1,2016-17
2015-05-01,96.3,2016-17
2015-04-01,81,2016-17
2015-03-01,67,2016-17
2015-02-01,57.5,2016-17
2015-01-01,58.1,2016-17
2014-12-01,64.9,2016-17
2014-11-01,76.6,2016-17
2014-10-01,89.5,2016-17
