year,california,us
1969,5351,4824
1970,5510,5143
1971,5696,5354
1972,6122,5629
1973,6292,5730
1974,6555,5889
1975,6900,6060
1976,7086,6239
1977,7427,6497
1978,7149,6571
1979,6961,6526
1980,6829,6462
1981,6836,6511
1982,6720,6764
1983,7081,7009
1984,7449,7392
1985,7881,7758
1986,8229,8032
1987,8121,8226
1988,8419,8624
1989,8604,8873
1990,8324,8882
1991,8147,8819
1992,7847,8785
1993,7831,8840
1994,7742,8920
1995,7754,8935
1996,8032,9045
1997,8468,9285
1998,8555,9598
1999,9050,9907
2000,9683,10228
2001,10084,10522
2002,10063,10719
2003,10005,10836
2004,10007,11027
2005,10122,11152
2006,10641,11505
2007,11125,11804
2008,10742,11915
2009,10412,11908
2010,10038,11703
2011,9831,11354
2012,9710,11297
2013,9988,11428
2014,10713,11734
